step,loss
0,0.900602
100,0.09998
200,0.0589873
300,0.0501982
400,0.0440804
500,0.0385399
600,0.0332476
700,0.0288198
800,0.0312078
900,0.0304337
1000,0.0222244
1100,0.0196165
1200,0.0222475
1300,0.0188869
1400,0.0263639
1500,0.0237485
1600,0.0195344
1700,0.0205301
1800,0.0161252
1900,0.0266115
2000,0.0150002
2100,0.014742
2200,0.0147692
2300,0.0134756
2400,0.0117117
2500,0.010339
2600,0.0108725
2700,0.0110802
2800,0.0130651
2900,0.0105818
3000,0.0088621
3100,0.0105425
3200,0.0139714
3300,0.00973768
3400,0.00997431
3500,0.00809058
3600,0.00810172
3700,0.00952317
3800,0.00848642
3900,0.00830732
4000,0.00887495
4100,0.00902454
4200,0.00723184
4300,0.00734712
4400,0.00692739
4500,0.0066734
4600,0.00847078
4700,0.00781095
4800,0.0063683
4900,0.00693573
5000,0.00635458
5100,0.0056798
5200,0.00679993
5300,0.00580007
5400,0.00687977
5500,0.00593715
5600,0.00615734
5700,0.00630084
5800,0.0062467
5900,0.00613328
6000,0.00556733
6100,0.00534111
6200,0.00586921
6300,0.00537072
6400,0.00713246
6500,0.00617269
6600,0.00888984
6700,0.00546622
6800,0.00638812
6900,0.00602898
7000,0.00493338
7100,0.00469116
7200,0.00477151
7300,0.00471905
7400,0.00471335
7500,0.00467399
7600,0.00464817
7700,0.00489176
7800,0.00485286
7900,0.00461235
8000,0.00736168
8100,0.00479654
