step,loss
0,0.900833
100,0.090049
200,0.0456072
300,0.0433924
400,0.0469553
500,0.0333918
600,0.0289794
700,0.0439903
800,0.0289287
900,0.0232712
1000,0.032533
1100,0.0265907
1200,0.0256485
1300,0.0181835
1400,0.0162144
1500,0.0152603
1600,0.0266051
1700,0.0174083
1800,0.0178013
1900,0.0185957
2000,0.0177851
2100,0.0148149
2200,0.01531
2300,0.0135139
2400,0.0111426
2500,0.0129276
2600,0.00976547
2700,0.0107548
2800,0.00880792
2900,0.0145088
3000,0.00971534
3100,0.0107468
3200,0.0106746
3300,0.00945119
3400,0.00944777
3500,0.00858944
3600,0.00824325
3700,0.00740903
3800,0.00958429
3900,0.00769402
4000,0.00807425
4100,0.00750071
4200,0.00876012
4300,0.00785926
4400,0.00723187
4500,0.00677234
4600,0.00648039
4700,0.00650377
4800,0.00643385
4900,0.00616357
5000,0.0068284
5100,0.00827757
5200,0.00627104
5300,0.0053733
5400,0.00616352
5500,0.00891144
5600,0.00799707
5700,0.00538839
5800,0.00590578
5900,0.00509941
6000,0.00569755
6100,0.00589637
6200,0.00616893
6300,0.00582675
6400,0.00612702
6500,0.00535281
6600,0.00567703
6700,0.00484108
6800,0.00631951
6900,0.00522322
7000,0.00511473
7100,0.00512285
7200,0.00518261
7300,0.00477827
7400,0.00474654
7500,0.0046223
7600,0.00468915
7700,0.00420629
7800,0.00405702
7900,0.00439265
8000,0.00425009
8100,0.00492229
8200,0.00499246
8300,0.0056118
8400,0.00676982
8500,0.00531541
8600,0.00484039
8700,0.00428301
8800,0.00446961
8900,0.00486134
9000,0.00432225
9100,0.00394429
9200,0.00404601
9300,0.00370894
9400,0.00368742
9500,0.00361809
9600,0.00369749
9700,0.00356381
9800,0.00372467
9900,0.00384705
10000,0.00368881
10100,0.00350731
10200,0.00338315
10300,0.00346778
10400,0.00333952
10500,0.00340508
10600,0.00390452
10700,0.00481714
10800,0.00669386
10900,0.00551518
11000,0.0056989
11100,0.00459923
11200,0.00375691
11300,0.00339064
11400,0.00321299
11500,0.00371797
11600,0.00322147
11700,0.00320404
11800,0.00317102
11900,0.00311539
12000,0.00324745
12100,0.00315079
12200,0.00319437
12300,0.00338814
12400,0.00315472
12500,0.0030839
12600,0.00306725
12700,0.00366961
12800,0.00321388
12900,0.00314318
13000,0.00310186
13100,0.00304331
13200,0.00325233
13300,0.00303824
13400,0.00306376
13500,0.00355828
13600,0.00293091
13700,0.00299379
13800,0.00305762
13900,0.00346516
14000,0.00301496
14100,0.00325917
14200,0.00310913
14300,0.00333836
14400,0.00295847
14500,0.00300367
14600,0.00310865
14700,0.00294769
14800,0.00273551
14900,0.00328743
15000,0.00320555
15100,0.00287706
15200,0.00279883
15300,0.00292214
15400,0.00290337
15500,0.00270235
15600,0.00310209
15700,0.00319934
15800,0.00327756
15900,0.00296055
16000,0.00315679
16100,0.00260754
16200,0.00316666
16300,0.0028022
16400,0.00302344
16500,0.00272723
16600,0.00279132
16700,0.00270168
16800,0.0028701
16900,0.00297831
17000,0.00270393
17100,0.00300571
17200,0.00292959
17300,0.00264694
17400,0.00260631
17500,0.00306622
17600,0.00260016
17700,0.0025589
17800,0.00255913
17900,0.00324114
18000,0.00249647
18100,0.0025801
18200,0.00278119
18300,0.00261893
18400,0.00284812
18500,0.00276466
18600,0.00223182
18700,0.00244611
18800,0.0028264
18900,0.00257817
19000,0.00317459
19100,0.00266065
19200,0.00247539
19300,0.00247858
19400,0.00245904
19500,0.00254874
19600,0.00408047
19700,0.00246944
19800,0.0023399
19900,0.00254492
20000,0.00254393
20100,0.00292258
20200,0.00249952
20300,0.00226502
20400,0.0024502
20500,0.00247732
20600,0.00261909
20700,0.00254909
20800,0.00273904
20900,0.00239386
21000,0.00277127
21100,0.00244675
21200,0.00234495
21300,0.0022947
21400,0.00292373
21500,0.00211332
21600,0.00234801
21700,0.00251334
21800,0.00225049
21900,0.00242015
22000,0.00288636
22100,0.0023498
22200,0.00225634
22300,0.00231614
22400,0.00224486
