step,train_acc
0,0.078125
100,0.9453125
200,0.9765625
300,0.984375
400,0.9765625
500,0.9921875
600,0.9921875
700,0.96875
800,0.9921875
900,0.9921875
1000,0.984375
1100,0.984375
1200,0.984375
1300,1.0
1400,1.0
1500,1.0
1600,0.9765625
1700,1.0
1800,0.9921875
1900,0.9921875
2000,1.0
2100,0.9921875
2200,1.0
2300,1.0
2400,1.0
2500,0.9921875
2600,1.0
2700,1.0
2800,1.0
2900,0.9921875
3000,1.0
3100,0.9921875
3200,0.9921875
3300,1.0
3400,1.0
3500,1.0
3600,1.0
3700,1.0
3800,1.0
3900,1.0
4000,1.0
4100,1.0
4200,1.0
4300,1.0
4400,1.0
4500,1.0
4600,1.0
4700,1.0
4800,1.0
4900,1.0
5000,1.0
5100,0.9921875
5200,1.0
5300,1.0
5400,1.0
5500,0.9921875
5600,0.9921875
5700,1.0
5800,1.0
5900,1.0
6000,1.0
6100,1.0
6200,1.0
6300,1.0
6400,1.0
6500,1.0
6600,1.0
6700,1.0
6800,1.0
6900,1.0
7000,1.0
7100,1.0
7200,1.0
7300,1.0
7400,1.0
7500,1.0
7600,1.0
7700,1.0
7800,1.0
7900,1.0
8000,1.0
8100,1.0
8200,1.0
8300,1.0
8400,1.0
8500,1.0
8600,1.0
8700,1.0
8800,1.0
8900,1.0
9000,1.0
9100,1.0
9200,1.0
9300,1.0
9400,1.0
9500,1.0
9600,1.0
9700,1.0
9800,1.0
9900,1.0
10000,1.0
10100,1.0
10200,1.0
10300,1.0
10400,1.0
10500,1.0
10600,1.0
10700,1.0
10800,1.0
10900,1.0
11000,1.0
11100,1.0
11200,1.0
11300,1.0
11400,1.0
11500,1.0
11600,1.0
11700,1.0
11800,1.0
11900,1.0
12000,1.0
12100,1.0
12200,1.0
12300,1.0
12400,1.0
12500,1.0
12600,1.0
12700,1.0
12800,1.0
12900,1.0
13000,1.0
13100,1.0
13200,1.0
13300,1.0
13400,1.0
13500,1.0
13600,1.0
13700,1.0
13800,1.0
13900,1.0
14000,1.0
14100,1.0
14200,1.0
14300,1.0
14400,1.0
14500,1.0
14600,1.0
14700,1.0
14800,1.0
14900,1.0
15000,1.0
15100,1.0
15200,1.0
15300,1.0
15400,1.0
15500,1.0
15600,1.0
15700,1.0
15800,1.0
15900,1.0
16000,1.0
16100,1.0
16200,1.0
16300,1.0
16400,1.0
16500,1.0
16600,1.0
16700,1.0
16800,1.0
16900,1.0
17000,1.0
17100,1.0
17200,1.0
17300,1.0
17400,1.0
17500,1.0
17600,1.0
17700,1.0
17800,1.0
17900,1.0
18000,1.0
18100,1.0
18200,1.0
18300,1.0
18400,1.0
18500,1.0
18600,1.0
18700,1.0
18800,1.0
18900,1.0
19000,1.0
19100,1.0
19200,1.0
19300,1.0
19400,1.0
19500,1.0
19600,1.0
19700,1.0
19800,1.0
19900,1.0
20000,1.0
20100,1.0
20200,1.0
20300,1.0
20400,1.0
20500,1.0
20600,1.0
20700,1.0
20800,1.0
20900,1.0
