step,train_acc
0,0.1171875
100,0.9375
200,0.96875
300,0.96875
400,0.96875
500,0.984375
600,0.984375
700,0.9921875
800,0.9921875
900,0.9609375
1000,1.0
1100,0.9921875
1200,0.9921875
1300,1.0
1400,0.984375
1500,0.984375
1600,0.9921875
1700,0.9921875
1800,1.0
1900,0.984375
2000,0.9921875
2100,1.0
2200,1.0
2300,1.0
2400,1.0
2500,1.0
2600,1.0
2700,1.0
2800,1.0
2900,1.0
3000,1.0
3100,1.0
3200,0.9921875
3300,1.0
3400,1.0
3500,1.0
3600,1.0
3700,1.0
3800,1.0
3900,1.0
4000,1.0
4100,1.0
4200,1.0
4300,1.0
4400,1.0
4500,1.0
4600,1.0
4700,1.0
4800,1.0
4900,1.0
5000,1.0
5100,1.0
5200,1.0
5300,1.0
5400,1.0
5500,1.0
5600,1.0
5700,1.0
5800,1.0
5900,1.0
6000,1.0
6100,1.0
6200,1.0
6300,1.0
6400,1.0
6500,1.0
6600,0.9921875
6700,1.0
6800,1.0
6900,1.0
7000,1.0
7100,1.0
7200,1.0
7300,1.0
7400,1.0
7500,1.0
7600,1.0
7700,1.0
7800,1.0
7900,1.0
8000,0.9921875
8100,1.0
